STATION,STATION_NAME,DATE,HPCP
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650223 11:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650223 17:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650223 18:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650223 19:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650223 20:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650224 11:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650224 13:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650301 01:00,0.00
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650301 15:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650301 17:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650301 18:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650301 19:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650301 20:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650301 21:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650301 23:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650302 00:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650302 01:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650302 02:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650302 03:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650302 16:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650302 17:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650302 18:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650302 19:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650302 20:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650302 21:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650302 22:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650302 23:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650303 00:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650303 01:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650303 02:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650303 03:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650304 05:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650304 06:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650304 07:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650304 08:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650304 10:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650304 11:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650304 13:00,0.05
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650304 14:00,0.05
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650304 15:00,0.05
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650304 16:00,0.05
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650304 17:00,0.05
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650304 18:00,0.05
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650304 19:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650304 20:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650304 21:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650304 22:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650304 23:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650305 00:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650305 02:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650305 03:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650305 04:00,0.05
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650305 05:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650305 06:00,0.05
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650305 07:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650305 08:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650305 09:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650305 10:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650305 11:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650309 05:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650309 06:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650311 13:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650311 14:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650311 15:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650311 18:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650311 19:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650313 23:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650314 00:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650314 01:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650314 02:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650314 08:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650315 07:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650315 08:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650317 04:00,0.06
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650317 05:00,0.08
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650317 06:00,0.08
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650317 07:00,0.07
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650317 08:00,0.17
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650317 09:00,0.07
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650317 10:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650317 11:00,0.05
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650317 12:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650317 14:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650317 15:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650317 16:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650317 17:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650317 23:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650318 00:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650322 00:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650322 01:00,0.05
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650322 02:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650322 03:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650322 04:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650322 05:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650322 06:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650322 18:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650322 19:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650323 03:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650323 04:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650325 08:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650325 10:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650328 21:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650328 23:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650401 01:00,0.00
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650401 03:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650401 04:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650401 05:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650404 00:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650404 01:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650405 07:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650405 08:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650405 09:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650406 00:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650406 01:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650408 08:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650408 09:00,0.08
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650408 10:00,0.14
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650408 11:00,0.07
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650408 12:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650408 15:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650408 16:00,0.06
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650408 17:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650408 18:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650408 19:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650408 20:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650408 21:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650410 14:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650410 15:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650410 19:00,0.08
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650410 20:00,0.14
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650410 21:00,0.25
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650410 22:00,0.20
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650410 23:00,0.13
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650411 00:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650411 14:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650411 15:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650411 16:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650411 21:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650411 22:00,0.07
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650414 17:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650414 18:00,0.05
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650414 20:00,0.05
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650414 21:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650414 22:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650414 23:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650415 04:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650417 00:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650417 06:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650417 07:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650417 08:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650417 09:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650419 21:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650419 22:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650423 04:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650424 00:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650424 01:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650424 02:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650424 03:00,0.05
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650424 04:00,0.11
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650424 05:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650424 08:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650425 00:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650425 01:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650425 02:00,0.05
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650425 03:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650425 04:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650425 05:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650425 06:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650425 07:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650425 08:00,0.05
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650425 09:00,0.07
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650425 10:00,0.08
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650425 11:00,0.08
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650425 12:00,0.10
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650425 13:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650425 14:00,0.05
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650425 15:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650425 16:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650425 17:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650425 18:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650501 01:00,0.00
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650505 04:00,0.13
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650505 05:00,0.05
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650505 06:00,0.09
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650505 07:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650505 08:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650508 06:00,0.10
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650508 07:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650508 13:00,0.05
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650509 07:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650509 08:00,0.02
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650515 19:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650515 20:00,0.06
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650515 21:00,0.05
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650518 07:00,0.03
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650518 08:00,0.04
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650522 13:00,0.06
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650522 15:00,0.05
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650523 07:00,0.01
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,19650523 08:00,0.01
